API,Param,ratio,tfdoc2.2,tfdoc2.3
tf.random.uniform.yaml,minval,0.41361256544502617,"A Tensor or Python value of type dtype, broadcastable with maxval. The lower bound on the range of random values to generate (inclusive). Defaults to 0.","A Tensor or Python value of type dtype, broadcastable with shape (for integer types, broadcasting is not supported, so it needs to be a scalar). The lower bound on the range of random values to generate (inclusive). Defaults to 0."
tf.random.uniform.yaml,maxval,0.48623853211009177,"A Tensor or Python value of type dtype, broadcastable with minval. The upper bound on the range of random values to generate (exclusive). Defaults to 1 if dtype is floating point.","A Tensor or Python value of type dtype, broadcastable with shape (for integer types, broadcasting is not supported, so it needs to be a scalar). The upper bound on the range of random values to generate (exclusive). Defaults to 1 if dtype is floating point."
tf.raw_ops.sparsesegmentsqrtngrad.yaml,segment_ids,0.8269230769230769,A Tensor of type int32. segment_ids passed to the corresponding SparseSegmentSqrtN op.,"A Tensor. Must be one of the following types: int32, int64. segment_ids passed to the corresponding SparseSegmentSqrtN op."
tf.keras.input.yaml,sparse,0.6356164383561644,A boolean specifying whether the placeholder to be created is sparse. Only one of 'ragged' and 'sparse' can be True.,"A boolean specifying whether the placeholder to be created is sparse. Only one of 'ragged' and 'sparse' can be True. Note that, if sparse is False, sparse tensors can still be passed into the input - they will be densified with a default value of 0."
tf.keras.input.yaml,ragged,0.894927536231884,"A boolean specifying whether the placeholder to be created is ragged. Only one of 'ragged' and 'sparse' can be True. In this case, values of 'None' in the 'shape' argument represent ragged dimensions. For more information about RaggedTensors, see https://www.tensorflow.org/guide/ragged_tensors","A boolean specifying whether the placeholder to be created is ragged. Only one of 'ragged' and 'sparse' can be True. In this case, values of 'None' in the 'shape' argument represent ragged dimensions. For more information about RaggedTensors, see this guide."
tf.raw_ops.retrievetpuembeddingadamparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.sparsesegmentsumwithnumsegments.yaml,segment_ids,0.82,A Tensor of type int32. A 1-D tensor. Values should be sorted and can be repeated.,"A Tensor. Must be one of the following types: int32, int64. A 1-D tensor. Values should be sorted and can be repeated."
tf.nn.conv1d.yaml,data_format,0.8917525773195877,"An optional string from ""NWC"", ""NCW"". Defaults to ""NWC"", the data is stored in the order of [batch, in_width, in_channels]. The ""NCW"" format stores data as [batch, in_channels, in_width].","An optional string from ""NWC"", ""NCW"". Defaults to ""NWC"", the data is stored in the order of batch_shape + [in_width, in_channels]. The ""NCW"" format stores data as batch_shape + [in_channels, in_width]."
tf.nn.conv1d.yaml,input,0.8333333333333334,"A 3D Tensor. Must be of type float16, float32, or float64.","A Tensor of rank at least 3. Must be of type float16, float32, or float64."
tf.nn.conv1d.yaml,filters,0.7962962962962963,A 3D Tensor. Must have the same type as input.,A Tensor of rank at least 3. Must have the same type as input.
tf.random.stateless_poisson.yaml,seed,0.56,A shape [2] integer Tensor of seeds to the random number generator.,"A shape [2] Tensor, the seed to the random number generator. Must have dtype int32 or int64. (When using XLA, only int32 is allowed.)"
tf.math.reduce_variance.yaml,input_tensor,0.8235294117647058,The tensor to reduce. Should have numeric type.,The tensor to reduce. Should have real or complex type.
tf.random.stateless_categorical.yaml,seed,0.56,A shape [2] integer Tensor of seeds to the random number generator.,"A shape [2] Tensor, the seed to the random number generator. Must have dtype int32 or int64. (When using XLA, only int32 is allowed.)"
tf.raw_ops.sparsesegmentmeanwithnumsegments.yaml,segment_ids,0.82,A Tensor of type int32. A 1-D tensor. Values should be sorted and can be repeated.,"A Tensor. Must be one of the following types: int32, int64. A 1-D tensor. Values should be sorted and can be repeated."
tf.raw_ops.retrievetpuembeddingmdladagradlightparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.math.bessel_i0e.yaml,x,0.8414634146341463,"A Tensor. Must be one of the following types: bfloat16, half, float32, float64.","A Tensor or SparseTensor. Must be one of the following types: half, float32, float64."
tf.raw_ops.retrievetpuembeddingrmspropparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.clip_by_norm.yaml,t,0.5909090909090909,A Tensor or IndexedSlices.,A Tensor or IndexedSlices. This must be a floating point type.
tf.clip_by_norm.yaml,clip_norm,0.8225806451612904,A 0-D (scalar) Tensor > 0. A maximum clipping value.,"A 0-D (scalar) Tensor > 0. A maximum clipping value, also floating point"
tf.raw_ops.loadtpuembeddingmomentumparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.math.bessel_i1e.yaml,x,0.8414634146341463,"A Tensor. Must be one of the following types: bfloat16, half, float32, float64.","A Tensor or SparseTensor. Must be one of the following types: half, float32, float64."
tf.raw_ops.fresnelsin.yaml,x,0.8873239436619719,"A Tensor. Must be one of the following types: float32, float64.","A Tensor. Must be one of the following types: bfloat16, half, float32, float64."
tf.raw_ops.dawsn.yaml,x,0.8873239436619719,"A Tensor. Must be one of the following types: float32, float64.","A Tensor. Must be one of the following types: bfloat16, half, float32, float64."
tf.raw_ops.loadtpuembeddingrmspropparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.retrievetpuembeddingmomentumparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.sparsesegmentmean.yaml,segment_ids,0.82,A Tensor of type int32. A 1-D tensor. Values should be sorted and can be repeated.,"A Tensor. Must be one of the following types: int32, int64. A 1-D tensor. Values should be sorted and can be repeated."
tf.raw_ops.loadtpuembeddingcenteredrmspropparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.random.stateless_binomial.yaml,seed,0.56,A shape [2] integer Tensor of seeds to the random number generator.,"A shape [2] Tensor, the seed to the random number generator. Must have dtype int32 or int64. (When using XLA, only int32 is allowed.)"
tf.raw_ops.retrievetpuembeddingadadeltaparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
