API,Param,ratio,doc2.1_parsed_rmv1,tfdoc2.2
tf.nn.sampled_softmax_loss.yaml,inputs,0.9939393939393939,"A `Tensor` of shape `[batch_size, dim]`.  The forward activations of the input network.","A Tensor of shape [batch_size, dim]. The forward activations of the input network."
tf.nn.sampled_softmax_loss.yaml,num_sampled,0.9915966386554622,An `int`.  The number of classes to randomly sample per batch.,An int. The number of classes to randomly sample per batch.
tf.train.experimental.enable_mixed_precision_graph_rewrite.yaml,loss_scale,0.9981308411214953,"Either an int/float, the string `""dynamic""`, or an instance of a`tf.mixed_precision.experimental.LossScale`. The loss scale to use. It is recommended to keep this as its default value of `""dynamic""`, which will adjust the scaling automatically to prevent `Inf` or `NaN` values.","Either an int/float, the string ""dynamic"", or an instance of a tf.mixed_precision.experimental.LossScale. The loss scale to use. It is recommended to keep this as its default value of ""dynamic"", which will adjust the scaling automatically to prevent Inf or NaN values."
tf.debugging.assert_non_negative.yaml,name,0.993103448275862,"A name for this operation (optional).  Defaults to ""assert_non_negative"".","A name for this operation (optional). Defaults to ""assert_non_negative""."
tf.keras.models.clone_model.yaml,clone_function,0.9983471074380166,"Callable to be used to clone each layer in the target model (except `InputLayer` instances). It takes as argument the layer instance to be cloned, and returns the corresponding layer instance to be used in the model copy. If unspecified, this callable defaults to the following serialization/deserialization function:`lambda layer: layer.__class__.from_config(layer.get_config())`. By passing a custom callable, you can customize your copy of the model, e.g. by wrapping certain layers of interest (you might want to replace all `LSTM` instances with equivalent`Bidirectional(LSTM(...))` instances, for example).","Callable to be used to clone each layer in the target model (except InputLayer instances). It takes as argument the layer instance to be cloned, and returns the corresponding layer instance to be used in the model copy. If unspecified, this callable defaults to the following serialization/deserialization function: lambda layer: layer.__class__.from_config(layer.get_config()). By passing a custom callable, you can customize your copy of the model, e.g. by wrapping certain layers of interest (you might want to replace all LSTM instances with equivalent Bidirectional(LSTM(...)) instances, for example)."
tf.keras.models.clone_model.yaml,model,0.9928057553956835,Instance of `Model`(could be a functional model or a Sequential model).,Instance of Model (could be a functional model or a Sequential model).
tf.math.accumulate_n.yaml,tensor_dtype,0.9950738916256158,"Expected data type of `inputs` (optional). A value of `None`means ""infer the input dtype from `inputs[0]`"".","Expected data type of inputs (optional). A value of None means ""infer the input dtype from inputs[0]""."
tf.strings.unicode_transcode.yaml,errors,0.9990867579908675,"An optional `string` from: `""strict"", ""replace"", ""ignore""`. Defaults to `""replace""`. Error handling policy when there is invalid formatting found in the input. The value of 'strict' will cause the operation to produce a InvalidArgument error on any invalid input formatting. A value of 'replace' (the default) will cause the operation to replace any invalid formatting in the input with the`replacement_char` codepoint. A value of 'ignore' will cause the operation to skip any invalid formatting in the input and produce no corresponding output character.","An optional string from: ""strict"", ""replace"", ""ignore"". Defaults to ""replace"". Error handling policy when there is invalid formatting found in the input. The value of 'strict' will cause the operation to produce a InvalidArgument error on any invalid input formatting. A value of 'replace' (the default) will cause the operation to replace any invalid formatting in the input with the replacement_char codepoint. A value of 'ignore' will cause the operation to skip any invalid formatting in the input and produce no corresponding output character."
tf.strings.unicode_transcode.yaml,replacement_char,0.9991503823279524,"An optional `int`. Defaults to `65533`. The replacement character codepoint to be used in place of any invalid formatting in the input when `errors='replace'`. Any valid unicode codepoint may be used. The default value is the default unicode replacement character is 0xFFFD or U+65533.)Note that for UTF-8, passing a replacement character expressible in 1 byte, such as ' ', will preserve string alignment to the source since invalid bytes will be replaced with a 1-byte replacement. For UTF-16-BE and UTF-16-LE, any 1 or 2 byte replacement character will preserve byte alignment to the source.","An optional int. Defaults to 65533. The replacement character codepoint to be used in place of any invalid formatting in the input when errors='replace'. Any valid unicode codepoint may be used. The default value is the default unicode replacement character is 0xFFFD or U+65533.) Note that for UTF-8, passing a replacement character expressible in 1 byte, such as ' ', will preserve string alignment to the source since invalid bytes will be replaced with a 1-byte replacement. For UTF-16-BE and UTF-16-LE, any 1 or 2 byte replacement character will preserve byte alignment to the source."
tf.strings.unicode_transcode.yaml,replace_control_characters,0.9962546816479401,An optional `bool`. Defaults to `False`. Whether to replace the C0 control characters (00-1F) with the`replacement_char`. Default is false.,An optional bool. Defaults to False. Whether to replace the C0 control characters (00-1F) with the replacement_char. Default is false.
tf.strings.unicode_transcode.yaml,output_encoding,0.9972602739726028,"A `string` from: `""UTF-8"", ""UTF-16-BE"", ""UTF-32-BE""`. The unicode encoding to use in the output. Must be one of`""UTF-8"", ""UTF-16-BE"", ""UTF-32-BE""`. Multi-byte encodings will be big-endian.","A string from: ""UTF-8"", ""UTF-16-BE"", ""UTF-32-BE"". The unicode encoding to use in the output. Must be one of ""UTF-8"", ""UTF-16-BE"", ""UTF-32-BE"". Multi-byte encodings will be big-endian."
tf.nn.avg_pool.yaml,input,0.9981167608286252,"Tensor of rank N+2, of shape `[batch_size] + input_spatial_shape + [num_channels]` if `data_format` does not start with ""NC"" (default), or`[batch_size, num_channels] + input_spatial_shape` if data_format starts with ""NC"". Pooling happens over the spatial dimensions only.","Tensor of rank N+2, of shape [batch_size] + input_spatial_shape + [num_channels] if data_format does not start with ""NC"" (default), or [batch_size, num_channels] + input_spatial_shape if data_format starts with ""NC"". Pooling happens over the spatial dimensions only."
tf.signal.idct.yaml,type,0.945054945054945,"The IDCT type to perform. Must be 1, 2 or 3.","The IDCT type to perform. Must be 1, 2, 3 or 4."
tf.signal.idct.yaml,norm,0.9947089947089947,The normalization to apply. `None` for no normalization or `'ortho'`for orthonormal normalization.,The normalization to apply. None for no normalization or 'ortho' for orthonormal normalization.
tf.math.bincount.yaml,weights,0.996309963099631,"If non-None, must be the same shape as arr. For each value in`arr`, the bin will be incremented by the corresponding weight instead of 1.","If non-None, must be the same shape as arr. For each value in arr, the bin will be incremented by the corresponding weight instead of 1."
tf.math.bincount.yaml,maxlength,0.9960159362549801,"If given, skips values in `arr` that are equal or greater than`maxlength`, ensuring that the output has length at most `maxlength`.","If given, skips values in arr that are equal or greater than maxlength, ensuring that the output has length at most maxlength."
tf.keras.backend.ones_like.yaml,dtype,0.9925925925925926,"String, dtype of returned Keras variable.  None uses the dtype of x.","String, dtype of returned Keras variable. None uses the dtype of x."
tf.random.fixed_unigram_candidate_sampler.yaml,distortion,0.9968553459119497,"The distortion is used to skew the unigram probability distribution.  Each weight is first raised to the distortion's power before adding to the internal unigram distribution. As a result,`distortion = 1.0` gives regular unigram sampling (as defined by the vocab file), and `distortion = 0.0` gives a uniform distribution.","The distortion is used to skew the unigram probability distribution. Each weight is first raised to the distortion's power before adding to the internal unigram distribution. As a result, distortion = 1.0 gives regular unigram sampling (as defined by the vocab file), and distortion = 0.0 gives a uniform distribution."
tf.random.fixed_unigram_candidate_sampler.yaml,num_reserved_ids,0.9975669099756691,"Optionally some reserved IDs can be added in the range`[0, num_reserved_ids)` by the users. One use case is that a special unknown word token is used as ID 0. These IDs will have a sampling probability of 0.","Optionally some reserved IDs can be added in the range [0, num_reserved_ids) by the users. One use case is that a special unknown word token is used as ID 0. These IDs will have a sampling probability of 0."
tf.random.fixed_unigram_candidate_sampler.yaml,num_true,0.9914529914529915,An `int`.  The number of target classes per training example.,An int. The number of target classes per training example.
tf.random.fixed_unigram_candidate_sampler.yaml,num_sampled,0.98989898989899,An `int`.  The number of classes to randomly sample.,An int. The number of classes to randomly sample.
tf.data.experimental.choose_from_datasets.yaml,choice_dataset,0.9934640522875817,A `tf.data.Dataset` of scalar `tf.int64` tensors between`0` and `len(datasets) - 1`.,A tf.data.Dataset of scalar tf.int64 tensors between 0 and len(datasets) - 1.
tf.keras.backend.ctc_decode.yaml,y_pred,0.9948186528497409,"tensor `(samples, time_steps, num_categories)`containing the prediction, or output of the softmax.","tensor (samples, time_steps, num_categories) containing the prediction, or output of the softmax."
tf.math.bessel_i1.yaml,x,0.9940828402366864,"A `Tensor` or `SparseTensor`. Must be one of the following types: `half`,`float32`, `float64`.","A Tensor or SparseTensor. Must be one of the following types: half, float32, float64."
tf.image.resize.yaml,preserve_aspect_ratio,0.9980657640232108,"Whether to preserve the aspect ratio. If this is set, then `images` will be resized to a size that fits in `size` while preserving the aspect ratio of the original image. Scales up the image if`size` is bigger than the current size of the `image`. Defaults to False.","Whether to preserve the aspect ratio. If this is set, then images will be resized to a size that fits in size while preserving the aspect ratio of the original image. Scales up the image if size is bigger than the current size of the image. Defaults to False."
tf.image.resize.yaml,size,0.9941520467836257,"A 1-D int32 Tensor of 2 elements: `new_height, new_width`.  The new size for the images.","A 1-D int32 Tensor of 2 elements: new_height, new_width. The new size for the images."
tf.foldl.yaml,elems,0.9973474801061007,"A tensor or (possibly nested) sequence of tensors, each of which will be unpacked along their first dimension.  The nested sequence of the resulting slices will be the first argument to `fn`.","A tensor or (possibly nested) sequence of tensors, each of which will be unpacked along their first dimension. The nested sequence of the resulting slices will be the first argument to fn."
tf.keras.optimizers.get.yaml,identifier,0.9956521739130435,"Optimizer identifier, one of String: name of an optimizerDictionary: configuration dictionary. - Keras Optimizer instance (it will be returned unchanged). - TensorFlow Optimizer instance (it will be wrapped as a Keras Optimizer). ","Optimizer identifier, one of String: name of an optimizer Dictionary: configuration dictionary. - Keras Optimizer instance (it will be returned unchanged). - TensorFlow Optimizer instance (it will be wrapped as a Keras Optimizer)."
tf.image.random_contrast.yaml,seed,0.9946524064171123,A Python integer. Used to create a random seed. See`tf.compat.v1.set_random_seed` for behavior.,A Python integer. Used to create a random seed. See tf.compat.v1.set_random_seed for behavior.
tf.image.random_contrast.yaml,lower,0.9900990099009901,float.  Lower bound for the random contrast factor.,float. Lower bound for the random contrast factor.
tf.image.random_contrast.yaml,upper,0.9900990099009901,float.  Upper bound for the random contrast factor.,float. Upper bound for the random contrast factor.
tf.linalg.expm.yaml,input,0.9945945945945946,"A `Tensor`. Must be `float16`, `float32`, `float64`, `complex64`, or`complex128` with shape `[..., M, M]`.","A Tensor. Must be float16, float32, float64, complex64, or complex128 with shape [..., M, M]."
tf.nn.separable_conv2d.yaml,pointwise_filter,0.9936708860759493,"4-D `Tensor` with shape `[1, 1, channel_multiplier * in_channels, out_channels]`.  Pointwise filter to mix channels after`depthwise_filter` has convolved spatially.","4-D Tensor with shape [1, 1, channel_multiplier * in_channels, out_channels]. Pointwise filter to mix channels after depthwise_filter has convolved spatially."
tf.nn.separable_conv2d.yaml,strides,0.9941520467836257,1-D of size 4.  The strides for the depthwise convolution for each dimension of `input`.,1-D of size 4. The strides for the depthwise convolution for each dimension of input.
tf.nn.separable_conv2d.yaml,padding,0.9957805907172996,"A string, either `'VALID'` or `'SAME'`.  The padding algorithm. See the ""returns"" section of `tf.nn.convolution` for details.","A string, either 'VALID' or 'SAME'. The padding algorithm. See the ""returns"" section of tf.nn.convolution for details."
tf.estimator.add_metrics.yaml,metric_fn,0.9817265280403277,"A function which should obey the following signature: Args: can only have following four arguments in any order:predictions: Predictions `Tensor` or dict of `Tensor` created by given`estimator`.features: Input `dict` of `Tensor` objects created by `input_fn` which is given to `estimator.evaluate` as an argument.labels:  Labels `Tensor` or dict of `Tensor` created by `input_fn`which is given to `estimator.evaluate` as an argument.config: config attribute of the `estimator`.Returns: Dict of metric results keyed by name. Final metrics are a union of this and `estimator's` existing metrics. If there is a name conflict between this and `estimator`s existing metrics, this will override the existing one. The values of the dict are the results of calling a metric function, namely a `(metric_tensor, update_op)` tuple. ","A function which should obey the following signature: Args: can only have following four arguments in any order: predictions: Predictions Tensor or dict of Tensor created by given estimator. features: Input dict of Tensor objects created by input_fn which is given to estimator.evaluate as an argument. labels: Labels Tensor or dict of Tensor created by input_fn which is given to estimator.evaluate as an argument. config: config attribute of the estimator. Returns: Dict of metric results keyed by name. Final metrics are a union of this and estimator's existing metrics. If there is a name conflict between this and estimators existing metrics, this will override the existing one. The values of the dict are the results of calling a metric function, namely a (metric_tensor, update_op) tuple."
tf.linalg.lu_solve.yaml,rhs,0.9966996699669967,"Matrix-shaped float `Tensor` representing targets for which to solve;`A X = RHS`. To handle vector cases, use: `lu_solve(..., rhs[..., tf.newaxis])[..., 0]`.","Matrix-shaped float Tensor representing targets for which to solve; A X = RHS. To handle vector cases, use: lu_solve(..., rhs[..., tf.newaxis])[..., 0]."
tf.strings.unicode_decode_with_offsets.yaml,errors,0.994059405940594,Specifies the response when an input string can't be converted using the indicated encoding. One of: `'strict'`: Raise an exception for any illegal substrings.`'replace'`: Replace illegal substrings with `replacement_char`.`'ignore'`: Skip illegal substrings. ,Specifies the response when an input string can't be converted using the indicated encoding. One of: 'strict': Raise an exception for any illegal substrings. 'replace': Replace illegal substrings with replacement_char. 'ignore': Skip illegal substrings.
tf.strings.unicode_decode_with_offsets.yaml,replace_control_characters,0.9943502824858758,Whether to replace the C0 control characters`(U+0000 - U+001F)` with the `replacement_char`.,Whether to replace the C0 control characters (U+0000 - U+001F) with the replacement_char.
tf.strings.unicode_decode_with_offsets.yaml,input,0.98989898989899,An `N` dimensional potentially ragged `string` tensor with shape`[D1...DN]`.  `N` must be statically known.,An N dimensional potentially ragged string tensor with shape [D1...DN]. N must be statically known.
tf.random.normal.yaml,seed,0.908256880733945,A Python integer. Used to create a random seed for the distribution. See`tf.compat.v1.set_random_seed`for behavior.,A Python integer. Used to create a random seed for the distribution. See tf.random.set_seed for behavior.
tf.random.uniform_candidate_sampler.yaml,num_true,0.9914529914529915,An `int`.  The number of target classes per training example.,An int. The number of target classes per training example.
tf.random.uniform_candidate_sampler.yaml,num_sampled,0.991869918699187,"An `int`.  The number of classes to randomly sample. The`sampled_candidates` return value will have shape `[num_sampled]`. If`unique=True`, `num_sampled` must be less than or equal to `range_max`.","An int. The number of classes to randomly sample. The sampled_candidates return value will have shape [num_sampled]. If unique=True, num_sampled must be less than or equal to range_max."
tf.feature_column.categorical_column_with_vocabulary_file.yaml,default_value,0.9964912280701754,"The integer ID value to return for out-of-vocabulary feature values, defaults to `-1`. This can not be specified with a positive`num_oov_buckets`.","The integer ID value to return for out-of-vocabulary feature values, defaults to -1. This can not be specified with a positive num_oov_buckets."
tf.feature_column.categorical_column_with_vocabulary_file.yaml,num_oov_buckets,0.996415770609319,"Non-negative integer, the number of out-of-vocabulary buckets. All out-of-vocabulary inputs will be assigned IDs in the range`[vocabulary_size, vocabulary_size+num_oov_buckets)` based on a hash of the input value. A positive `num_oov_buckets` can not be specified with`default_value`.","Non-negative integer, the number of out-of-vocabulary buckets. All out-of-vocabulary inputs will be assigned IDs in the range [vocabulary_size, vocabulary_size+num_oov_buckets) based on a hash of the input value. A positive num_oov_buckets can not be specified with default_value."
tf.feature_column.categorical_column_with_vocabulary_file.yaml,key,0.9971014492753624,"A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature`Tensor` objects, and feature columns.","A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature Tensor objects, and feature columns."
tf.math.segment_min.yaml,segment_ids,0.9971671388101983,"A `Tensor`. Must be one of the following types: `int32`, `int64`. A 1-D tensor whose size is equal to the size of `data`'s first dimension.  Values should be sorted and can be repeated.","A Tensor. Must be one of the following types: int32, int64. A 1-D tensor whose size is equal to the size of data's first dimension. Values should be sorted and can be repeated."
tf.io.parse_sequence_example.yaml,context_features,0.9967213114754099,A `dict` mapping feature keys to `FixedLenFeature` or`VarLenFeature` or `RaggedFeature` values. These features are associated with a `SequenceExample` as a whole.,A dict mapping feature keys to FixedLenFeature or VarLenFeature or RaggedFeature values. These features are associated with a SequenceExample as a whole.
tf.io.parse_sequence_example.yaml,sequence_features,0.9974554707379135,A `dict` mapping feature keys to`FixedLenSequenceFeature` or `VarLenFeature` or `RaggedFeature` values. These features are associated with data within the `FeatureList` section of the `SequenceExample` proto.,A dict mapping feature keys to FixedLenSequenceFeature or VarLenFeature or RaggedFeature values. These features are associated with data within the FeatureList section of the SequenceExample proto.
tf.data.experimental.group_by_window.yaml,window_size,0.9975786924939467,"A `tf.int64` scalar `tf.Tensor`, representing the number of consecutive elements matching the same key to combine in a single batch, which will be passed to `reduce_func`. Mutually exclusive with`window_size_func`.","A tf.int64 scalar tf.Tensor, representing the number of consecutive elements matching the same key to combine in a single batch, which will be passed to reduce_func. Mutually exclusive with window_size_func."
tf.data.experimental.group_by_window.yaml,window_size_func,0.9956331877729258,"A function mapping a key to a `tf.int64` scalar`tf.Tensor`, representing the number of consecutive elements matching the same key to combine in a single batch, which will be passed to`reduce_func`. Mutually exclusive with `window_size`.","A function mapping a key to a tf.int64 scalar tf.Tensor, representing the number of consecutive elements matching the same key to combine in a single batch, which will be passed to reduce_func. Mutually exclusive with window_size."
tf.data.experimental.group_by_window.yaml,key_func,0.9967637540453075,A function mapping a nested structure of tensors (having shapes and types defined by `self.output_shapes` and`self.output_types`) to a scalar `tf.int64` tensor.,A function mapping a nested structure of tensors (having shapes and types defined by self.output_shapes and self.output_types) to a scalar tf.int64 tensor.
tf.data.experimental.group_by_window.yaml,reduce_func,0.9957446808510638,A function mapping a key and a dataset of up to `window_size`consecutive elements matching that key to another dataset.,A function mapping a key and a dataset of up to window_size consecutive elements matching that key to another dataset.
tf.nn.sparse_softmax_cross_entropy_with_logits.yaml,labels,0.9965753424657534,"`Tensor` of shape `[d_0, d_1, ..., d_{r-1}]` (where `r` is rank of`labels` and result) and dtype `int32` or `int64`. Each entry in `labels`must be an index in `[0, num_classes)`. Other values will raise an exception when this op is run on CPU, and return `NaN` for corresponding loss and gradient rows on GPU.","Tensor of shape [d_0, d_1, ..., d_{r-1}] (where r is rank of labels and result) and dtype int32 or int64. Each entry in labels must be an index in [0, num_classes). Other values will raise an exception when this op is run on CPU, and return NaN for corresponding loss and gradient rows on GPU."
tf.meshgrid.yaml,**kwargs,0.9850746268656716,"- indexing: Either 'xy' or 'ij' (optional, default: 'xy'). name: A name for the operation (optional). ","indexing: Either 'xy' or 'ij' (optional, default: 'xy'). name: A name for the operation (optional)."
tf.norm.yaml,ord,0.9953488372093023,"Order of the norm. Supported values are `'fro'`, `'euclidean'`,`1`, `2`, `np.inf` and any positive real number yielding the corresponding p-norm. Default is `'euclidean'` which is equivalent to Frobenius norm if`tensor` is a matrix and equivalent to 2-norm for vectors. Some restrictions apply: a) The Frobenius norm `'fro'` is not defined for vectors, b) If axis is a 2-tuple (matrix norm), only `'euclidean'`, '`fro'`, `1`,    `2`, `np.inf` are supported. See the description of `axis` on how to compute norms for a batch of vectors or matrices stored in a tensor.","Order of the norm. Supported values are 'fro', 'euclidean', 1, 2, np.inf and any positive real number yielding the corresponding p-norm. Default is 'euclidean' which is equivalent to Frobenius norm if tensor is a matrix and equivalent to 2-norm for vectors. Some restrictions apply: a) The Frobenius norm 'fro' is not defined for vectors, b) If axis is a 2-tuple (matrix norm), only 'euclidean', 'fro', 1, 2, np.inf are supported. See the description of axis on how to compute norms for a batch of vectors or matrices stored in a tensor."
tf.norm.yaml,axis,0.9986541049798116,"If `axis` is `None` (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. `norm(tensor, ord=ord)` is equivalent to`norm(reshape(tensor, [-1]), ord=ord)`. If `axis` is a Python integer, the input is considered a batch of vectors, and `axis` determines the axis in `tensor` over which to compute vector norms. If `axis` is a 2-tuple of Python integers it is considered a batch of matrices and `axis` determines the axes in `tensor` over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass`axis=[-2,-1]` instead of `axis=None` to make sure that matrix norms are computed.","If axis is None (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. norm(tensor, ord=ord) is equivalent to norm(reshape(tensor, [-1]), ord=ord). If axis is a Python integer, the input is considered a batch of vectors, and axis determines the axis in tensor over which to compute vector norms. If axis is a 2-tuple of Python integers it is considered a batch of matrices and axis determines the axes in tensor over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass axis=[-2,-1] instead of axis=None to make sure that matrix norms are computed."
tf.nn.conv2d.yaml,data_format,0.9937888198757764,"An optional `string` from: `""NHWC"", ""NCHW""`. Defaults to `""NHWC""`. Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of:   [batch, height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of:   [batch, channels, height, width].","An optional string from: ""NHWC"", ""NCHW"". Defaults to ""NHWC"". Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of: [batch, height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of: [batch, channels, height, width]."
tf.nn.conv2d.yaml,input,0.9973614775725593,"A `Tensor`. Must be one of the following types:`half`, `bfloat16`, `float32`, `float64`. A 4-D tensor. The dimension order is interpreted according to the value of `data_format`, see below for details.","A Tensor. Must be one of the following types: half, bfloat16, float32, float64. A 4-D tensor. The dimension order is interpreted according to the value of data_format, see below for details."
tf.nn.conv2d.yaml,filters,0.9958847736625515,"A `Tensor`. Must have the same type as `input`. A 4-D tensor of shape`[filter_height, filter_width, in_channels, out_channels]`","A Tensor. Must have the same type as input. A 4-D tensor of shape [filter_height, filter_width, in_channels, out_channels]"
tf.nn.conv2d.yaml,strides,0.9984152139461173,"An int or list of `ints` that has length `1`, `2` or `4`.  The stride of the sliding window for each dimension of `input`. If a single value is given it is replicated in the `H` and `W` dimension. By default the `N` and `C` dimensions are set to 1. The dimension order is determined by the value of `data_format`, see below for details.","An int or list of ints that has length 1, 2 or 4. The stride of the sliding window for each dimension of input. If a single value is given it is replicated in the H and W dimension. By default the N and C dimensions are set to 1. The dimension order is determined by the value of data_format, see below for details."
tf.math.segment_sum.yaml,segment_ids,0.9971671388101983,"A `Tensor`. Must be one of the following types: `int32`, `int64`. A 1-D tensor whose size is equal to the size of `data`'s first dimension.  Values should be sorted and can be repeated.","A Tensor. Must be one of the following types: int32, int64. A 1-D tensor whose size is equal to the size of data's first dimension. Values should be sorted and can be repeated."
tf.image.crop_and_resize.yaml,crop_size,0.9977426636568849,"A 1-D tensor of 2 elements, `size = [crop_height, crop_width]`. All cropped image patches are resized to this size. The aspect ratio of the image content is not preserved. Both `crop_height` and `crop_width`need to be positive.","A 1-D tensor of 2 elements, size = [crop_height, crop_width]. All cropped image patches are resized to this size. The aspect ratio of the image content is not preserved. Both crop_height and crop_width need to be positive."
tf.feature_column.categorical_column_with_identity.yaml,key,0.9971014492753624,"A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature`Tensor` objects, and feature columns.","A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature Tensor objects, and feature columns."
tf.io.decode_and_crop_jpeg.yaml,dct_method,0.9956709956709957,"An optional `string`. Defaults to `""""`. string specifying a hint about the algorithm used for decompression.  Defaults to """" which maps to a system-specific default.  Currently valid values are [""INTEGER_FAST"", ""INTEGER_ACCURATE""].  The hint may be ignored (e.g., the internal jpeg library changes to a version that does not have that specific option.)","An optional string. Defaults to """". string specifying a hint about the algorithm used for decompression. Defaults to """" which maps to a system-specific default. Currently valid values are [""INTEGER_FAST"", ""INTEGER_ACCURATE""]. The hint may be ignored (e.g., the internal jpeg library changes to a version that does not have that specific option.)"
tf.io.decode_and_crop_jpeg.yaml,contents,0.9906542056074766,A `Tensor` of type `string`. 0-D.  The JPEG-encoded image.,A Tensor of type string. 0-D. The JPEG-encoded image.
tf.io.decode_and_crop_jpeg.yaml,crop_window,0.9943502824858758,"A `Tensor` of type `int32`. 1-D.  The crop window: [crop_y, crop_x, crop_height, crop_width].","A Tensor of type int32. 1-D. The crop window: [crop_y, crop_x, crop_height, crop_width]."
tf.ones.yaml,dtype,0.9933774834437086,Optional DType of an element in the resulting `Tensor`. Default is`tf.float32`.,Optional DType of an element in the resulting Tensor. Default is tf.float32.
tf.strings.unicode_decode.yaml,errors,0.994059405940594,Specifies the response when an input string can't be converted using the indicated encoding. One of: `'strict'`: Raise an exception for any illegal substrings.`'replace'`: Replace illegal substrings with `replacement_char`.`'ignore'`: Skip illegal substrings. ,Specifies the response when an input string can't be converted using the indicated encoding. One of: 'strict': Raise an exception for any illegal substrings. 'replace': Replace illegal substrings with replacement_char. 'ignore': Skip illegal substrings.
tf.strings.unicode_decode.yaml,replace_control_characters,0.9943502824858758,Whether to replace the C0 control characters`(U+0000 - U+001F)` with the `replacement_char`.,Whether to replace the C0 control characters (U+0000 - U+001F) with the replacement_char.
tf.strings.unicode_decode.yaml,input,0.98989898989899,An `N` dimensional potentially ragged `string` tensor with shape`[D1...DN]`.  `N` must be statically known.,An N dimensional potentially ragged string tensor with shape [D1...DN]. N must be statically known.
tf.compat.forward_compatibility_horizon.yaml,day,0.9927007299270073,"A day (1 <= day <= 31, or 30, or 29, or 28) in month. Must be an`int`.","A day (1 <= day <= 31, or 30, or 29, or 28) in month. Must be an int."
tf.config.experimental.set_synchronous_execution.yaml,enable,0.9921259842519685,Whether operations should be dispatched synchronously. Valid values: None: sets the system default.True: executes each operation synchronously.False: executes each operation asynchronously. ,Whether operations should be dispatched synchronously. Valid values: None: sets the system default. True: executes each operation synchronously. False: executes each operation asynchronously.
tf.sparse.sparse_dense_matmul.yaml,adjoint_a,0.9915966386554622,"Use the adjoint of A in the matrix multiply.  If A is complex, this is transpose(conj(A)).  Otherwise it's transpose(A).","Use the adjoint of A in the matrix multiply. If A is complex, this is transpose(conj(A)). Otherwise it's transpose(A)."
tf.sparse.sparse_dense_matmul.yaml,adjoint_b,0.9915966386554622,"Use the adjoint of B in the matrix multiply.  If B is complex, this is transpose(conj(B)).  Otherwise it's transpose(B).","Use the adjoint of B in the matrix multiply. If B is complex, this is transpose(conj(B)). Otherwise it's transpose(B)."
tf.summary.audio.yaml,max_outputs,0.9956140350877193,"Optional `int` or rank-0 integer `Tensor`. At most this many audio clips will be emitted at each step. When more than`max_outputs` many clips are provided, the first `max_outputs`many clips will be used and the rest silently discarded.","Optional int or rank-0 integer Tensor. At most this many audio clips will be emitted at each step. When more than max_outputs many clips are provided, the first max_outputs many clips will be used and the rest silently discarded."
tf.sparse.reset_shape.yaml,new_shape,0.9931972789115646,None or a vector representing the new shape for the returned`SparseTensor`.,None or a vector representing the new shape for the returned SparseTensor.
tf.while_loop.yaml,maximum_iterations,0.9953051643192489,"Optional maximum number of iterations of the while loop to run.  If provided, the `cond` output is AND-ed with an additional condition ensuring the number of iterations executed is no greater than`maximum_iterations`.","Optional maximum number of iterations of the while loop to run. If provided, the cond output is AND-ed with an additional condition ensuring the number of iterations executed is no greater than maximum_iterations."
tf.while_loop.yaml,loop_vars,0.9946524064171123,"A (possibly nested) tuple, namedtuple or list of numpy array,`Tensor`, and `TensorArray` objects.","A (possibly nested) tuple, namedtuple or list of numpy array, Tensor, and TensorArray objects."
tf.nest.assert_same_structure.yaml,expand_composites,0.9957446808510638,"If true, then composite tensors such as `tf.SparseTensor`and `tf.RaggedTensor` are expanded into their component tensors.","If true, then composite tensors such as tf.SparseTensor and tf.RaggedTensor are expanded into their component tensors."
tf.nn.conv2d_transpose.yaml,filters,0.9967637540453075,"A 4-D `Tensor` with the same type as `input` and shape `[height, width, output_channels, in_channels]`.  `filter`'s `in_channels` dimension must match that of `input`.","A 4-D Tensor with the same type as input and shape [height, width, output_channels, in_channels]. filter's in_channels dimension must match that of input."
tf.nn.conv2d_transpose.yaml,strides,0.9984152139461173,"An int or list of `ints` that has length `1`, `2` or `4`.  The stride of the sliding window for each dimension of `input`. If a single value is given it is replicated in the `H` and `W` dimension. By default the `N` and `C` dimensions are set to 0. The dimension order is determined by the value of `data_format`, see below for details.","An int or list of ints that has length 1, 2 or 4. The stride of the sliding window for each dimension of input. If a single value is given it is replicated in the H and W dimension. By default the N and C dimensions are set to 0. The dimension order is determined by the value of data_format, see below for details."
