API,Type,Count,Input,BugID
tf.keras.backend.min,Abort,66,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.min.yaml_workdir/Abort_script_record,tf51
tf.keras.layers.GlobalMaxPool1D,Abort,15,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.GlobalMaxPool1D.yaml_workdir/Abort_script_record,tf52
tf.keras.layers.GlobalMaxPool2D,Abort,22,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.GlobalMaxPool2D.yaml_workdir/Abort_script_record,tf52
tf.ragged.constant,timeout,49,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.ragged.constant.yaml_workdir/timeout_script_record,
tf.ragged.row_splits_to_segment_ids,Kill,233,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.ragged.row_splits_to_segment_ids.yaml_workdir/Kill_script_record,
tf.ragged.segment_ids_to_row_splits,Kill,12,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.ragged.segment_ids_to_row_splits.yaml_workdir/Kill_script_record,
tf.keras.layers.GlobalMaxPool3D,Abort,21,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.GlobalMaxPool3D.yaml_workdir/Abort_script_record,tf52
tf.ragged.stack_dynamic_partitions,Kill,21,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.ragged.stack_dynamic_partitions.yaml_workdir/Kill_script_record,
tf.random.all_candidate_sampler,Kill,11,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.all_candidate_sampler.yaml_workdir/Kill_script_record,
tf.random.categorical,Kill,10,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.categorical.yaml_workdir/Kill_script_record,
tf.sparse.segment_sum,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.sparse.segment_sum.yaml_workdir/Abort_script_record,tf60
tf.nn.softmax_cross_entropy_with_logits,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.nn.softmax_cross_entropy_with_logits.yaml_workdir/Abort_script_record,tf64
tf.random.learned_unigram_candidate_sampler,Kill,10,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.learned_unigram_candidate_sampler.yaml_workdir/Kill_script_record,
tf.summary.create_file_writer,Abort,53,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.summary.create_file_writer.yaml_workdir/Abort_script_record,tf65
tf.random.learned_unigram_candidate_sampler,timeout,17,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.learned_unigram_candidate_sampler.yaml_workdir/timeout_script_record,
tf.random.log_uniform_candidate_sampler,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.log_uniform_candidate_sampler.yaml_workdir/Kill_script_record,
tf.random.log_uniform_candidate_sampler,timeout,8,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.log_uniform_candidate_sampler.yaml_workdir/timeout_script_record,
tf.random.normal,Kill,8,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.normal.yaml_workdir/Kill_script_record,
tf.quantization.fake_quant_with_min_max_vars_gradient,Abort,508,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.quantization.fake_quant_with_min_max_vars_gradient.yaml_workdir/Abort_script_record,tf66
tf.random.poisson,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.poisson.yaml_workdir/Kill_script_record,
tf.random.poisson,timeout,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.poisson.yaml_workdir/timeout_script_record,
tf.random.stateless_categorical,Kill,4,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.stateless_categorical.yaml_workdir/Kill_script_record,
tf.random.stateless_uniform,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.stateless_uniform.yaml_workdir/Kill_script_record,
tf.random.truncated_normal,Kill,8,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.truncated_normal.yaml_workdir/Kill_script_record,
tf.random.uniform_candidate_sampler,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.uniform_candidate_sampler.yaml_workdir/Kill_script_record,
tf.random.uniform_candidate_sampler,timeout,7,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.uniform_candidate_sampler.yaml_workdir/timeout_script_record,
tf.random.uniform,Kill,9,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.uniform.yaml_workdir/Kill_script_record,
tf.repeat,Kill,31,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.repeat.yaml_workdir/Kill_script_record,
tf.repeat,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.repeat.yaml_workdir/timeout_script_record,
tf.quantization.fake_quant_with_min_max_vars_per_channel,Abort,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.quantization.fake_quant_with_min_max_vars_per_channel.yaml_workdir/Abort_script_record,tf66
tf.quantization.fake_quant_with_min_max_vars,Abort,467,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.quantization.fake_quant_with_min_max_vars.yaml_workdir/Abort_script_record,tf66
tf.nn.atrous_conv2d,Floating_Point_Exception,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.nn.atrous_conv2d.yaml_workdir/Floating_Point_Exception_script_record,tf7
tf.sequence_mask,Kill,57,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.sequence_mask.yaml_workdir/Kill_script_record,
tf.signal.dct,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.signal.dct.yaml_workdir/Kill_script_record,
tf.signal.frame,Kill,16,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.signal.frame.yaml_workdir/Kill_script_record,
tf.signal.hamming_window,Kill,43,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.signal.hamming_window.yaml_workdir/Kill_script_record,
tf.signal.hann_window,Kill,49,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.signal.hann_window.yaml_workdir/Kill_script_record,
tf.nn.atrous_conv2d,Abort,19,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.nn.atrous_conv2d.yaml_workdir/Abort_script_record,tf71
tf.signal.stft,Kill,25,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.signal.stft.yaml_workdir/Kill_script_record,
tf.signal.stft,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.signal.stft.yaml_workdir/timeout_script_record,
tf.sparse.eye,Kill,204,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.sparse.eye.yaml_workdir/Kill_script_record,
tf.math.bincount,Abort,52,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.math.bincount.yaml_workdir/Abort_script_record,tf78
tf.strings.as_string,Kill,4,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.strings.as_string.yaml_workdir/Kill_script_record,
tf.strings.as_string,timeout,10,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.strings.as_string.yaml_workdir/timeout_script_record,
tf.scatter_nd,Abort,16,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.scatter_nd.yaml_workdir/Abort_script_record,tf80
tf.random.learned_unigram_candidate_sampler,Abort,14,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.learned_unigram_candidate_sampler.yaml_workdir/Abort_script_record,tf82
tf.broadcast_to,Abort,96,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.broadcast_to.yaml_workdir/Abort_script_record,tf84
tf.nn.separable_conv2d,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.nn.separable_conv2d.yaml_workdir/Abort_script_record,
tf.random.poisson,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.poisson.yaml_workdir/Abort_script_record,
tf.zeros,Kill,84,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.zeros.yaml_workdir/Kill_script_record,
