File,Arg,Type,Constr_src,Constr_cmp,Descp
mxnet.ndarray.argmax,axis,prim_dtype,"['boolean', 'int']",['int'],"The axis along which to perform the reduction. Negative values means indexing from right to left. `Requires axis to be set as int, because global reduction is not supported yet.`"
mxnet.gluon.nn.Conv3DTranspose,weight_initializer,prim_dtype,"['boolean', 'string']",['string'],Initializer for the weight weights matrix.
mxnet.ndarray.op.linalg_sumlogdiag,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of square matrices
mxnet.ndarray.op.cumsum,dtype,prim_dtype,['int'],"['int', 'numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.int8']","Type of the returned array and of the accumulator in which the elements are summed. If dtype is not specified, it defaults to the dtype of a, unless a has an integer dtype with a precision less than that of the default platform integer. In that case, the default platform integer is used."
mxnet.ndarray.op.rmsprop_update,clip_weights,prim_dtype,"['boolean', 'float']",['float'],"Clip weights to the range of [-clip_weights, clip_weights] If clip_weights <= 0, weight clipping is turned off. weights = max(min(weights, clip_weights), -clip_weights)."
mxnet.ndarray.random.poisson,shape,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The number of samples to draw. If shape is, e.g., (m, n) and lam is a scalar, output shape will be (m, n). If lam is an NDArray with shape, e.g., (x, y), then output will have shape (x, y, m, n), where m*n samples are drawn for each entry in lam."
mxnet.ndarray.op.unravel_index,shape,nonprim_dtype,['ndarray'],"['ndarray', 'tuple']",Shape of the array into which the multi-indices apply.
mxnet.gluon.nn.Conv2DTranspose,weight_initializer,prim_dtype,"['boolean', 'string']",['string'],Initializer for the weight weights matrix.
mxnet.ndarray.mean,axis,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  "
mxnet.contrib.ndarray.requantize,max_calib_range,prim_dtype,"['float', 'numpy.float32']","['float', 'numpy.float32', 'numpy.int32', 'numpy.int8']","The maximum scalar value in the form of float32 obtained through calibration. If present, it will be used to requantize the int32 data into int8."
mxnet.contrib.ndarray.requantize,max_range,prim_dtype,"['numeric', 'numpy.float32', 'numpy.int32']","['numpy.float32', 'numpy.int32']",The original maximum scalar value in the form of float32 used for quantizing data into int32.
mxnet.contrib.ndarray.requantize,min_calib_range,prim_dtype,"['float', 'numpy.float32']","['float', 'numpy.float32', 'numpy.int32', 'numpy.int8']","The minimum scalar value in the form of float32 obtained through calibration. If present, it will be used to requantize the int32 data into int8."
mxnet.contrib.ndarray.requantize,min_range,prim_dtype,"['numeric', 'numpy.float32', 'numpy.int32']","['numpy.float32', 'numpy.int32']",The original minimum scalar value in the form of float32 used for quantizing data into int32.
mxnet.ndarray.op.linalg_maketrian,A,nonprim_dtype,['ndarray'],"['list', 'ndarray', 'tensor']",Tensor of triangular matrices stored as vectors
mxnet.contrib.quantization.quantize_graph,calib_mode,prim_dtype,['string'],"['numpy.float32', 'string']","If calib_mode='none', no calibration will be used and the thresholds for requantization after the corresponding layers will be calculated at runtime by calling min and max operators. The quantized models generated in this mode are normally 10-20% slower than those with calibrations during inference. If calib_mode='naive', the min and max values of the layer outputs from a calibration dataset will be directly taken as the thresholds for quantization. If calib_mode='entropy' (default mode), the thresholds for quantization will be derived such that the KL divergence between the distributions of FP32 layer outputs and quantized layer outputs is minimized based upon the calibration dataset."
mxnet.contrib.quantization.quantize_graph,quantized_dtype,prim_dtype,['string'],"['numpy.int8', 'numpy.uint8', 'string']","The quantized destination type for input data. Currently support 'int8' , 'uint8' and 'auto'. 'auto' means automatically select output type according to calibration result. Default value is 'int8'."
mxnet.visualization.plot_network,dtype,prim_dtype,['numpy.float32'],"['numpy.float32', 'string']","Specifies the type of the input tensors. If specified, the visualization will include the type of the tensors between the nodes. dtype is a dictionary mapping input symbol names (str) to the corresponding tensor type (e.g. numpy.float32)."
mxnet.visualization.plot_network,shape,nonprim_dtype,"['dict', 'tensor']","['dict', 'tensor', 'tuple']","Specifies the shape of the input tensors. If specified, the visualization will include the shape of the tensors between the nodes. shape is a dictionary mapping input symbol names (str) to the corresponding tensor shape (tuple)."
mxnet.ndarray.min_axis,axis,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  "
mxnet.ndarray.zeros,dtype,prim_dtype,"['numpy.dtype', 'string']","['numpy.dtype', 'numpy.float32', 'string']",An optional value type (default is float32)
mxnet.ndarray.linalg.extractdiag,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of square matrices
mxnet.ndarray.op.SoftmaxOutput,ignore_label,prim_dtype,"['boolean', 'float']",['float'],"The instances whose labels == ignore_label will be ignored during backward, if use_ignore is set to `true`)."
mxnet.ndarray.op.SoftmaxOutput,use_ignore,prim_dtype,"['boolean', 'numeric']",['boolean'],"If set to `true`, the ignore_label value will not contribute to the backward gradient."
mxnet.ndarray.op.InstanceNorm,beta,nonprim_dtype,['ndarray'],"['list', 'ndarray']","A vector of length 'channel', which is added to the product of the normalized input and the weight."
mxnet.ndarray.op.InstanceNorm,gamma,nonprim_dtype,['ndarray'],"['list', 'ndarray']","A vector of length 'channel', which multiplies the normalized input."
mxnet.contrib.ndarray.index_copy,index_vector,nonprim_dtype,['ndarray'],"['list', 'ndarray']",Index vector
mxnet.contrib.ndarray.index_copy,old_tensor,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Old tensor
mxnet.gluon.contrib.rnn.Conv3DGRUCell,input_shape,nonprim_dtype,['tuple'],"['list', 'tensor', 'tuple']","Input tensor shape at each time step for each sample, excluding dimension of the batch size and sequence length. Must be consistent with conv_layout. For example, for layout 'NCDHW' the shape should be (C, D, H, W)."
mxnet.gluon.contrib.rnn.Conv1DLSTMCell,input_shape,nonprim_dtype,['tuple'],"['list', 'tensor', 'tuple']","Input tensor shape at each time step for each sample, excluding dimension of the batch size and sequence length. Must be consistent with conv_layout. For example, for layout 'NCW' the shape should be (C, W)."
mxnet.ndarray.linalg_makediag,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of diagonal entries
mxnet.ndarray.norm,axis,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The axis or axes along which to perform the reduction.The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a 2-tuple, it specifies the axes that hold 2-D matrices, and the matrix norms of these matrices are computed.   "
mxnet.ndarray.linalg_extractdiag,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of square matrices
mxnet.ndarray.argmin,axis,prim_dtype,"['boolean', 'int']",['int'],"The axis along which to perform the reduction. Negative values means indexing from right to left. `Requires axis to be set as int, because global reduction is not supported yet.`"
mxnet.ndarray.linalg_potri,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of lower triangular matrices
mxnet.gluon.contrib.rnn.Conv3DLSTMCell,input_shape,nonprim_dtype,['tuple'],"['list', 'tensor', 'tuple']","Input tensor shape at each time step for each sample, excluding dimension of the batch size and sequence length. Must be consistent with conv_layout. For example, for layout 'NCDHW' the shape should be (C, D, H, W)."
mxnet.test_utils.almost_equal_ignore_nan,atol,prim_dtype,['boolean'],['float'],The absolute threshold. Default threshold will be used if set to `None`.
mxnet.test_utils.almost_equal_ignore_nan,rtol,prim_dtype,['boolean'],['float'],The relative threshold. Default threshold will be used if set to `None`.
mxnet.ndarray.op.broadcast_to,shape,nonprim_dtype,['ndarray'],"['ndarray', 'tuple']","The shape of the desired array. We can set the dim to zero if it's same as the original. E.g A = broadcast_to(B, shape=(10, 0, 0)) has the same meaning as A = broadcast_axis(B, axis=0, size=10)."
mxnet.io.ImageDetRecordIter,max_random_contrast,prim_dtype,"['float', 'numeric']",['float'],Augmentation Param: Maximum random value of delta contrast.
mxnet.io.ImageDetRecordIter,max_random_hue,prim_dtype,"['int', 'numeric']",['int'],Augmentation Param: Maximum random value of H channel in HSL color space.
mxnet.io.ImageDetRecordIter,max_random_illumination,prim_dtype,"['int', 'numeric']",['int'],Augmentation Param: Maximum random value of L channel in HSL color space.
mxnet.io.ImageDetRecordIter,max_random_saturation,prim_dtype,"['int', 'numeric']",['int'],Augmentation Param: Maximum random value of S channel in HSL color space.
mxnet.io.ImageDetRecordIter,mean_a,prim_dtype,"['float', 'numeric']",['float'],Augmentation Param: Mean value on Alpha channel.
mxnet.io.ImageDetRecordIter,mean_b,prim_dtype,"['float', 'numeric']",['float'],Augmentation Param: Mean value on B channel.
mxnet.io.ImageDetRecordIter,mean_g,prim_dtype,"['float', 'numeric']",['float'],Augmentation Param: Mean value on G channel.
mxnet.io.ImageDetRecordIter,mean_r,prim_dtype,"['float', 'numeric']",['float'],Augmentation Param: Mean value on R channel.
mxnet.ndarray.Softmax,ignore_label,prim_dtype,"['boolean', 'float']",['float'],"The instances whose labels == ignore_label will be ignored during backward, if use_ignore is set to `true`)."
mxnet.ndarray.Softmax,use_ignore,prim_dtype,"['boolean', 'numeric']",['boolean'],"If set to `true`, the ignore_label value will not contribute to the backward gradient."
mxnet.ndarray.sum,axis,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  "
mxnet.gluon.rnn.RNN,layout,nonprim_dtype,['tensor'],"['list', 'tensor']","The format of input and output tensors. T, N and C stand for sequence length, batch size, and feature dimensions respectively."
mxnet.image.random_size_crop,area,prim_dtype,"['boolean', 'float']",['float'],"If tuple, minimum area and maximum area to be maintained after cropping If float, minimum area to be maintained after cropping, maximum area is set to 1.0"
mxnet.ndarray.op.linalg_trsm,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of lower triangular matrices
mxnet.ndarray.op.linalg_trsm,B,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of matrices
mxnet.ndarray.linalg.maketrian,A,nonprim_dtype,['ndarray'],"['list', 'ndarray', 'tensor']",Tensor of triangular matrices stored as vectors
mxnet.ndarray.nansum,axis,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  "
mxnet.gluon.model_zoo.vision.get_mobilenet_v2,multiplier,prim_dtype,"['float', 'int']",['float'],The width multiplier for controling the model size. Only multipliers that are no less than 0.25 are supported. The actual number of channels is equal to the original channel size multiplied by this multiplier.
mxnet.ndarray.prod,axis,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  "
mxnet.ndarray.op.mean,axis,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  "
mxnet.ndarray.op.rmspropalex_update,clip_weights,prim_dtype,"['boolean', 'float']",['float'],"Clip weights to the range of [-clip_weights, clip_weights] If clip_weights <= 0, weight clipping is turned off. weights = max(min(weights, clip_weights), -clip_weights)."
mxnet.ndarray.MakeLoss,valid_thresh,prim_dtype,"['boolean', 'float']",['float'],clip each element in the array to 0 when it is less than `valid_thresh`. This is used when `normalization` is set to `'valid'`.
mxnet.gluon.nn.Conv1D,weight_initializer,prim_dtype,"['boolean', 'string']",['string'],Initializer for the weight weights matrix.
