API,Arg,default,enum_constr,descp
tf.keras.layers.zeropadding3d,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.nn.safe_embedding_lookup_sparse,combiner,mean,"['mean', 'sqrtn', 'sum']","A string specifying how to combine embedding results for each entry. Currently ""mean"", ""sqrtn"" and ""sum"" are supported, with ""mean"" the default."
tf.keras.layers.conv3dtranspose,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, depth, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, depth, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.keras.layers.conv3dtranspose,padding,valid,"['same', 'valid']","one of `""valid""` or `""same""` (case-insensitive)."
tf.keras.backend.pool2d,data_format,None,"['channels_first', 'channels_last']","string, `""channels_last""` or `""channels_first""`."
tf.keras.backend.pool2d,padding,valid,"['same', 'valid']","string, `""same""` or `""valid""`."
tf.keras.backend.pool2d,pool_mode,max,"['avg', 'max']","string, `""max""` or `""avg""`."
tf.keras.backend.cast,dtype,null,"['float16', 'float32', 'float64']","String, either (`'float16'`, `'float32'`, or `'float64'`)."
tf.nn.depthwise_conv2d_backprop_input,data_format,NHWC,"['NCHW', 'NHWC']","An optional `string` from: `""NHWC"", ""NCHW""`. Defaults to `""NHWC""`. Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of:   [batch, height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of:   [batch, channels, height, width]."
tf.nn.depthwise_conv2d_backprop_input,padding,null,"['SAME', 'VALID']","A `string` from: `""SAME"", ""VALID""`. The type of padding algorithm to use."
tf.norm,ord,euclidean,"['1', '2', 'euclidean', 'fro', 'np.inf']","Order of the norm. Supported values are `'fro'`, `'euclidean'`,`1`, `2`, `np.inf` and any positive real number yielding the corresponding p-norm. Default is `'euclidean'` which is equivalent to Frobenius norm if`tensor` is a matrix and equivalent to 2-norm for vectors. Some restrictions apply: a) The Frobenius norm `'fro'` is not defined for vectors, b) If axis is a 2-tuple (matrix norm), only `'euclidean'`, '`fro'`, `1`,    `2`, `np.inf` are supported. See the description of `axis` on how to compute norms for a batch of vectors or matrices stored in a tensor."
tf.keras.backend.spatial_2d_padding,data_format,None,"['channels_first', 'channels_last']",One of `channels_last` or `channels_first`.
tf.pad,mode,CONSTANT,"['CONSTANT', 'REFLECT', 'SYMMETRIC']","One of ""CONSTANT"", ""REFLECT"", or ""SYMMETRIC"" (case-insensitive)"
tf.summary.audio,encoding,None,['wav'],"Optional constant `str` for the desired encoding. Only ""wav"" is currently supported, but this is not guaranteed to remain the default, so if you want ""wav"" in particular, set this explicitly."
tf.keras.layers.cropping2d,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.ragged.constant,row_splits_dtype,tf.dtypes.int64,"['tf.int32', 'tf.int64']",data type for the constructed `RaggedTensor`'s row_splits. One of `tf.int32` or `tf.int64`.
tf.nn.atrous_conv2d,padding,null,"['SAME', 'VALID']","A string, either `'VALID'` or `'SAME'`. The padding algorithm."
tf.io.decode_and_crop_jpeg,dct_method,,"['INTEGER_ACCURATE', 'INTEGER_FAST']","An optional `string`. Defaults to `""""`. string specifying a hint about the algorithm used for decompression.  Defaults to """" which maps to a system-specific default.  Currently valid values are [""INTEGER_FAST"", ""INTEGER_ACCURATE""].  The hint may be ignored (e.g., the internal jpeg library changes to a version that does not have that specific option.)"
tf.keras.backend.conv3d,data_format,None,"['channels_first', 'channels_last']","string, `""channels_last""` or `""channels_first""`."
tf.keras.backend.conv3d,padding,valid,"['same', 'valid']","string, `""same""` or `""valid""`."
tf.keras.preprocessing.image.random_shear,fill_mode,nearest,"['constant', 'nearest', 'reflect', 'wrap']","Points outside the boundaries of the input     are filled according to the given mode     (one of `{'constant', 'nearest', 'reflect', 'wrap'}`)."
tf.keras.backend.set_floatx,value,null,"['float16', 'float32', 'float64']","String; 'float16', 'float32', or 'float64'. Example: `python from keras import backend as K K.floatx() >>> 'float32' K.set_floatx('float16') K.floatx() >>> 'float16'`"
tf.keras.layers.AveragePooling3D,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.keras.layers.AveragePooling3D,padding,valid,"['same', 'valid']","One of `""valid""` or `""same""` (case-insensitive)."
tf.quantization.quantize,T,null,"['tf.qint16', 'tf.qint32', 'tf.qint8', 'tf.quint16', 'tf.quint8']","A `tf.DType` from: `tf.qint8, tf.quint8, tf.qint32, tf.qint16, tf.quint16`."
tf.quantization.quantize,mode,MIN_COMBINED,"['MIN_COMBINED', 'MIN_FIRST', 'SCALED']","An optional `string` from: `""MIN_COMBINED"", ""MIN_FIRST"", ""SCALED""`. Defaults to `""MIN_COMBINED""`."
tf.quantization.quantize,round_mode,HALF_AWAY_FROM_ZERO,"['HALF_AWAY_FROM_ZERO', 'HALF_TO_EVEN']","An optional `string` from: `""HALF_AWAY_FROM_ZERO"", ""HALF_TO_EVEN""`. Defaults to `""HALF_AWAY_FROM_ZERO""`."
tf.keras.layers.flatten,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, ..., channels)` while `channels_first` corresponds to inputs with shape `(batch, channels, ...)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.keras.layers.upsampling3d,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.nn.pool,data_format,None,"['NCDHW', 'NCHW', 'NCW', 'NDHWC', 'NHWC', 'NWC']","A string or None.  Specifies whether the channel dimension of the `input` and output is the last dimension (default, or if `data_format`does not start with ""NC""), or the second dimension (if `data_format`starts with ""NC"").  For N=1, the valid values are ""NWC"" (default) and ""NCW"".  For N=2, the valid values are ""NHWC"" (default) and ""NCHW"". For N=3, the valid values are ""NDHWC"" (default) and ""NCDHW""."
tf.keras.layers.AveragePooling1D,data_format,channels_last,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, steps, features)` while `channels_first`corresponds to inputs with shape`(batch, features, steps)`."
tf.keras.layers.AveragePooling1D,padding,valid,"['same', 'valid']","One of `""valid""` or `""same""` (case-insensitive)."
tf.keras.Input,ragged,False,"['ragged', 'sparse']","A boolean specifying whether the placeholder to be created is ragged. Only one of 'ragged' and 'sparse' can be True. In this case, values of 'None' in the 'shape' argument represent ragged dimensions. For more information about RaggedTensors, seehttps://www.tensorflow.org/guide/ragged_tensors"
tf.keras.Input,sparse,False,"['ragged', 'sparse']",A boolean specifying whether the placeholder to be created is sparse. Only one of 'ragged' and 'sparse' can be True.
tf.keras.backend.conv1d,data_format,None,"['channels_first', 'channels_last']","string, one of ""channels_last"", ""channels_first""."
tf.keras.backend.conv1d,padding,valid,"['causal', 'same', 'valid']","string, `""same""`, `""causal""` or `""valid""`."
tf.keras.layers.GlobalAveragePooling1D,data_format,channels_last,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, steps, features)` while `channels_first`corresponds to inputs with shape`(batch, features, steps)`."
tf.keras.layers.cropping3d,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.io.decode_proto,message_format,binary,"['binary', 'text']","An optional `string`. Defaults to `""binary""`. Either `binary` or `text`."
tf.keras.preprocessing.image.random_shift,fill_mode,nearest,"['constant', 'nearest', 'reflect', 'wrap']","Points outside the boundaries of the input     are filled according to the given mode     (one of `{'constant', 'nearest', 'reflect', 'wrap'}`)."
tf.strings.unicode_split,errors,replace,['strict'],Specifies the response when an input string can't be converted using the indicated encoding. One of: `'strict'`: Raise an exception for any illegal substrings.`'replace'`: Replace illegal substrings with `replacement_char`.`'ignore'`: Skip illegal substrings. 
tf.keras.backend.pool3d,data_format,None,"['channels_first', 'channels_last']","string, `""channels_last""` or `""channels_first""`."
tf.keras.backend.pool3d,padding,valid,"['same', 'valid']","string, `""same""` or `""valid""`."
tf.keras.backend.pool3d,pool_mode,max,"['avg', 'max']","string, `""max""` or `""avg""`."
tf.nn.max_pool,data_format,None,"['NCDHW', 'NCHW', 'NCW', 'NDHWC', 'NHWC', 'NWC']","A string. Specifies the channel dimension. For N=1 it can be either ""NWC"" (default) or ""NCW"", for N=2 it can be either ""NHWC"" (default) or ""NCHW"" and for N=3 either ""NDHWC"" (default) or ""NCDHW""."
tf.nn.max_pool,padding,null,"['SAME', 'VALID']","A string, either `'VALID'` or `'SAME'`. The padding algorithm. See the ""returns"" section of `tf.nn.convolution` for details."
tf.keras.backend.separable_conv2d,data_format,None,"['channels_first', 'channels_last']","string, `""channels_last""` or `""channels_first""`."
tf.keras.backend.separable_conv2d,padding,valid,"['same', 'valid']","string, `""same""` or `""valid""`."
tf.keras.layers.depthwiseconv2d,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be 'channels_last'."
tf.keras.layers.depthwiseconv2d,padding,valid,"['same', 'valid']",one of `'valid'` or `'same'` (case-insensitive).
tf.keras.layers.zeropadding2d,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.keras.layers.GlobalAveragePooling3D,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.meshgrid,**kwargs,null,"['ij', 'xy']","- indexing: Either 'xy' or 'ij' (optional, default: 'xy'). name: A name for the operation (optional). "
tf.nn.depthwise_conv2d,data_format,None,"['NCHW', 'NHWC']","The data format for input. Either ""NHWC"" (default) or ""NCHW""."
tf.nn.depthwise_conv2d,padding,null,"['SAME', 'VALID']","A string, either `'VALID'` or `'SAME'`. The padding algorithm. See the ""returns"" section of `tf.nn.convolution` for details."
tf.linalg.lu,output_idx_type,tf.dtypes.int32,"['tf.int32', 'tf.int64']","An optional `tf.DType` from: `tf.int32, tf.int64`. Defaults to `tf.int32`."
tf.strings.unicode_decode,errors,replace,['strict'],Specifies the response when an input string can't be converted using the indicated encoding. One of: `'strict'`: Raise an exception for any illegal substrings.`'replace'`: Replace illegal substrings with `replacement_char`.`'ignore'`: Skip illegal substrings. 
