,API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
98,tf.feature_column.embedding_column,combiner,"A string specifying how to reduce if there are multiple entries in a single row. Currently 'mean', 'sqrtn' and 'sum' are supported, with 'mean' the default. 'sqrtn' often achieves good accuracy, in particular with bag-of-words columns. Each of this can be thought as example level normalizations on the column. For more information, see`tf.embedding_lookup_sparse`.",For more information see tf embedding_lookup_sparse,,,,,,,
99,tf.feature_column.embedding_column,combiner,"A string specifying how to reduce if there are multiple entries in a single row. Currently 'mean', 'sqrtn' and 'sum' are supported, with 'mean' the default. 'sqrtn' often achieves good accuracy, in particular with bag-of-words columns. Each of this can be thought as example level normalizations on the column. For more information, see`tf.embedding_lookup_sparse`.",QSTR often achieves good accuracy in particular with bag of words columns,,,,,,,
100,tf.nn.safe_embedding_lookup_sparse,combiner,"A string specifying how to combine embedding results for each entry. Currently ""mean"", ""sqrtn"" and ""sum"" are supported, with ""mean"" the default.",A D_TYPE specifying how to combine embedding results for each entry,D_TYPE,,,,0,,
101,tf.nn.safe_embedding_lookup_sparse,combiner,"A string specifying how to combine embedding results for each entry. Currently ""mean"", ""sqrtn"" and ""sum"" are supported, with ""mean"" the default.",Currently QSTR are supported with QSTR the default,,,,,,,QSTR
102,tf.audio.decode_wav,contents,"A `Tensor` of type `string`. The WAV-encoded audio, usually from a file.",A D_STRUCTURE of type D_TYPE,D_TYPE,D_STRUCTURE,,,,,
103,tf.audio.decode_wav,contents,"A `Tensor` of type `string`. The WAV-encoded audio, usually from a file.",The WAV encoded audio usually from a file,,,,,,,
104,tf.io.parse_sequence_example,context_features,A `dict` mapping feature keys to `FixedLenFeature` or`VarLenFeature` or `RaggedFeature` values. These features are associated with a `SequenceExample` as a whole.,A D_STRUCTURE mapping feature keys to QSTR values,,,D_STRUCTURE,,,,
105,tf.io.parse_sequence_example,context_features,A `dict` mapping feature keys to `FixedLenFeature` or`VarLenFeature` or `RaggedFeature` values. These features are associated with a `SequenceExample` as a whole.,These features are associated with a QSTR as a whole,,,,,,,
106,tf.keras.estimator.model_to_estimator,custom_objects,Dictionary for custom objects.,D_STRUCTURE for custom objects,,,D_STRUCTURE,,,,
107,tf.keras.layers.deserialize,custom_objects,dict mapping class names (or function names) of custom (non-Keras) objects to class/functions,D_STRUCTURE mapping class names BSTR objects to class functions,,,D_STRUCTURE,,,,
108,tf.keras.preprocessing.image.random_shear,cval,Value used for points outside the boundaries     of the input if `mode='constant'`.,Value used for points outside the boundaries of the input if mode QSTR,,,,,,,
109,tf.debugging.assert_shapes,data,The tensors to print out if the condition is False.  Defaults to error message and first few entries of the violating tensor.,Defaults to error PARAM and first few entries of the violating D_STRUCTURE,,,,,,,
110,tf.debugging.assert_shapes,data,The tensors to print out if the condition is False.  Defaults to error message and first few entries of the violating tensor.,The D_STRUCTURE to print out if the condition is CONSTANT_BOOL,,D_STRUCTURE,,,,,
111,tf.fingerprint,data,A `Tensor`. Must have rank 1 or higher.,A D_STRUCTURE,,D_STRUCTURE,,,,,
112,tf.fingerprint,data,A `Tensor`. Must have rank 1 or higher.,Must have rank CONSTANT_NUM or higher,,,,,>=CONSTANT_NUM,,
113,tf.summary.audio,data,"A `Tensor` representing audio data with shape `[k, t, c]`, where `k` is the number of audio clips, `t` is the number of frames, and `c` is the number of channels. Elements should be floating-point values in `[-1.0, 1.0]`. Any of the dimensions may be statically unknown (i.e., `None`).",A D_STRUCTURE representing audio data with shape BSTR where QSTR is the number of audio clips QSTR is the number of frames and QSTR is the number of channels,int,D_STRUCTURE,,BSTR,,"[-1.0,1.0]",
114,tf.summary.audio,data,"A `Tensor` representing audio data with shape `[k, t, c]`, where `k` is the number of audio clips, `t` is the number of frames, and `c` is the number of channels. Elements should be floating-point values in `[-1.0, 1.0]`. Any of the dimensions may be statically unknown (i.e., `None`).",Any of the dimensions may be statically unknown i e QSTR,,,,,,,
115,tf.summary.audio,data,"A `Tensor` representing audio data with shape `[k, t, c]`, where `k` is the number of audio clips, `t` is the number of frames, and `c` is the number of channels. Elements should be floating-point values in `[-1.0, 1.0]`. Any of the dimensions may be statically unknown (i.e., `None`).",Elements should be D_TYPE point values in BSTR,D_TYPE,,,,,BSTR,
116,tf.keras.backend.local_conv1d,data_format,"the data format, channels_first or channels_last.",the data format channels_first or channels_last,,,,,,,channels_first;channels_last
117,tf.keras.layers.AveragePooling2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",A D_TYPE one of QSTR BSTR or QSTR,D_TYPE,,,,0,,QSTR
118,tf.keras.layers.AveragePooling2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",If you never set it then it will be QSTR,,,,,,,
119,tf.keras.layers.AveragePooling2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",It defaults to the QSTR value found in your Keras config file at keras keras json,,,,,,,
120,tf.keras.layers.AveragePooling2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",The ordering of the dimensions in the inputs QSTR corresponds to inputs with shape BSTR while QSTR corresponds to inputs with shape BSTR,,,,,,,
121,tf.keras.layers.Conv3D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",A D_TYPE one of QSTR BSTR or QSTR,D_TYPE,,,,0,,QSTR
122,tf.keras.layers.Conv3D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",If you never set it then it will be QSTR,,,,,,,
123,tf.keras.layers.Conv3D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",It defaults to the QSTR value found in your Keras config file at keras keras json,,,,,,,
124,tf.keras.layers.Conv3D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",The ordering of the dimensions in the inputs QSTR corresponds to inputs with shape BSTRwhile QSTR corresponds to inputs with shape BSTR,,,,,,,
125,tf.keras.layers.ConvLSTM2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, time, ..., channels)`while `channels_first` corresponds to inputs with shape `(batch, time, channels, ...)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",A D_TYPE one of QSTR BSTR or QSTR,D_TYPE,,,,0,,QSTR
126,tf.keras.layers.ConvLSTM2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, time, ..., channels)`while `channels_first` corresponds to inputs with shape `(batch, time, channels, ...)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",If you never set it then it will be QSTR,,,,,,,
127,tf.keras.layers.ConvLSTM2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, time, ..., channels)`while `channels_first` corresponds to inputs with shape `(batch, time, channels, ...)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",It defaults to the QSTR value found in your Keras config file at keras keras json,,,,,,,
128,tf.keras.layers.ConvLSTM2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, time, ..., channels)`while `channels_first` corresponds to inputs with shape `(batch, time, channels, ...)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",The ordering of the dimensions in the inputs QSTR corresponds to inputs with shape BSTRwhile QSTR corresponds to inputs with shape BSTR,,,,,,,
129,tf.keras.layers.Cropping2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",A D_TYPE one of QSTR BSTR or QSTR,D_TYPE,,,,0,,QSTR
130,tf.keras.layers.Cropping2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",If you never set it then it will be QSTR,,,,,,,
131,tf.keras.layers.Cropping2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",It defaults to the QSTR value found in your Keras config file at keras keras json,,,,,,,
132,tf.keras.layers.Cropping2D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, height, width, channels)` while `channels_first`corresponds to inputs with shape`(batch, channels, height, width)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",The ordering of the dimensions in the inputs QSTR corresponds to inputs with shape BSTR while QSTR corresponds to inputs with shape BSTR,,,,,,,
133,tf.keras.layers.Cropping3D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",A D_TYPE one of QSTR BSTR or QSTR,D_TYPE,,,,0,,QSTR
134,tf.keras.layers.Cropping3D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",If you never set it then it will be QSTR,,,,,,,
135,tf.keras.layers.Cropping3D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",It defaults to the QSTR value found in your Keras config file at keras keras json,,,,,,,
136,tf.keras.layers.Cropping3D,data_format,"A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last"".",The ordering of the dimensions in the inputs QSTR corresponds to inputs with shape BSTRwhile QSTR corresponds to inputs with shape BSTR,,,,,,,
137,tf.nn.avg_pool2d,data_format,A string. 'NHWC' and 'NCHW' are supported.,A D_TYPE,D_TYPE,,,,0,,
138,tf.nn.avg_pool2d,data_format,A string. 'NHWC' and 'NCHW' are supported.,QSTR are supported,,,,,,,QSTR
139,tf.nn.conv2d_transpose,data_format,A string. 'NHWC' and 'NCHW' are supported.,A D_TYPE,D_TYPE,,,,0,,
140,tf.nn.conv2d_transpose,data_format,A string. 'NHWC' and 'NCHW' are supported.,QSTR are supported,,,,,,,QSTR
141,tf.nn.depthwise_conv2d_backprop_filter,data_format,"An optional `string` from: `""NHWC"", ""NCHW""`. Defaults to `""NHWC""`. Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of:   [batch, height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of:   [batch, channels, height, width].",Alternatively the format could be QSTR the data storage order of BSTR,,,,,,,
142,tf.nn.depthwise_conv2d_backprop_filter,data_format,"An optional `string` from: `""NHWC"", ""NCHW""`. Defaults to `""NHWC""`. Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of:   [batch, height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of:   [batch, channels, height, width].",An optional D_TYPE from QSTR,D_TYPE,,,,0,,QSTR
143,tf.nn.depthwise_conv2d_backprop_filter,data_format,"An optional `string` from: `""NHWC"", ""NCHW""`. Defaults to `""NHWC""`. Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of:   [batch, height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of:   [batch, channels, height, width].",Defaults to QSTR,,,,,,,
144,tf.nn.depthwise_conv2d_backprop_filter,data_format,"An optional `string` from: `""NHWC"", ""NCHW""`. Defaults to `""NHWC""`. Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of:   [batch, height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of:   [batch, channels, height, width].",Specify the data format of the PARAM and output data,,,,,,,
145,tf.nn.depthwise_conv2d_backprop_filter,data_format,"An optional `string` from: `""NHWC"", ""NCHW""`. Defaults to `""NHWC""`. Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of:   [batch, height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of:   [batch, channels, height, width].",With the default format QSTR the data is stored in the order of BSTR,,,,,,,
146,tf.nn.max_pool1d,data_format,"An optional string from: ""NWC"", ""NCW"". Defaults to ""NWC"".",An optional D_TYPE from QSTR,D_TYPE,,,,0,,QSTR
147,tf.nn.max_pool1d,data_format,"An optional string from: ""NWC"", ""NCW"". Defaults to ""NWC"".",Defaults to QSTR,,,,,,,
148,tf.feature_column.sequence_categorical_column_with_identity,default_value,"If `None`, this column's graph operations will fail for out-of-range inputs. Otherwise, this value must be in the range`[0, num_buckets)`, and will replace out-of-range inputs.",If QSTR this column graph operations will fail for out of range inputs,,,,,,,
149,tf.feature_column.sequence_categorical_column_with_identity,default_value,"If `None`, this column's graph operations will fail for out-of-range inputs. Otherwise, this value must be in the range`[0, num_buckets)`, and will replace out-of-range inputs.",Otherwise this value must be in the range BSTR and will replace out of range inputs,,,,,,,
150,tf.keras.layers.SeparableConv2D,depth_multiplier,The number of depthwise convolution output channels for each input channel. The total number of depthwise convolution output channels will be equal to `filters_in * depth_multiplier`.,The number of depthwise convolution output channels for each input channel,int,,,,0,"[0,inf)",
151,tf.keras.layers.SeparableConv2D,depth_multiplier,The number of depthwise convolution output channels for each input channel. The total number of depthwise convolution output channels will be equal to `filters_in * depth_multiplier`.,The total number of depthwise convolution output channels will be equal to filters_in depth_multiplier,,,,,,,
152,tf.summary.scalar,description,"Optional long-form description for this summary, as a constant `str`. Markdown is supported. Defaults to empty.",Defaults to empty,,,,,,,
153,tf.summary.scalar,description,"Optional long-form description for this summary, as a constant `str`. Markdown is supported. Defaults to empty.",Markdown is supported,,,,,,,
154,tf.summary.scalar,description,"Optional long-form description for this summary, as a constant `str`. Markdown is supported. Defaults to empty.",Optional long form description for this summary as a constant D_TYPE,D_TYPE,,,,,,
155,tf.device,device_name,The device name to use in the context.,The device name to use in the context,string,,,,0,,
156,tf.keras.layers.Conv2D,dilation_rate,"an integer or tuple/list of 2 integers, specifying the dilation rate to use for dilated convolution. Can be a single integer to specify the same value for all spatial dimensions. Currently, specifying any `dilation_rate` value != 1 is incompatible with specifying any stride value != 1.",an D_TYPE or D_STRUCTURE of CONSTANT_NUM D_TYPE specifying the dilation rate to use for dilated convolution,D_TYPE,,D_STRUCTURE,[CONSTANT_NUM],,"[0,1]",
157,tf.keras.layers.Conv2D,dilation_rate,"an integer or tuple/list of 2 integers, specifying the dilation rate to use for dilated convolution. Can be a single integer to specify the same value for all spatial dimensions. Currently, specifying any `dilation_rate` value != 1 is incompatible with specifying any stride value != 1.",Can be a single D_TYPE to specify the same value for all spatial dimensions,D_TYPE,,,,0,,
158,tf.keras.layers.Conv2D,dilation_rate,"an integer or tuple/list of 2 integers, specifying the dilation rate to use for dilated convolution. Can be a single integer to specify the same value for all spatial dimensions. Currently, specifying any `dilation_rate` value != 1 is incompatible with specifying any stride value != 1.",Currently specifying any dilation_rate value CONSTANT_NUM is incompatible with specifying any stride value CONSTANT_NUM,,,,,,,
159,tf.nn.conv2d_transpose,dilations,"An int or list of `ints` that has length `1`, `2` or `4`, defaults to 1. The dilation factor for each dimension of`input`. If a single value is given it is replicated in the `H` and `W` dimension. By default the `N` and `C` dimensions are set to 1. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of `data_format`, see above for details. Dilations in the batch and depth dimensions if a 4-d tensor must be 1.",An D_TYPE or D_STRUCTURE of D_TYPE that has length CONSTANT_NUM defaults to CONSTANT_NUM,D_TYPE,D_STRUCTURE,D_STRUCTURE,[CONSTANT_NUM],0;1,,
160,tf.nn.conv2d_transpose,dilations,"An int or list of `ints` that has length `1`, `2` or `4`, defaults to 1. The dilation factor for each dimension of`input`. If a single value is given it is replicated in the `H` and `W` dimension. By default the `N` and `C` dimensions are set to 1. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of `data_format`, see above for details. Dilations in the batch and depth dimensions if a 4-d tensor must be 1.",By default the QSTR dimensions are set to CONSTANT_NUM,,,,,,,
161,tf.nn.conv2d_transpose,dilations,"An int or list of `ints` that has length `1`, `2` or `4`, defaults to 1. The dilation factor for each dimension of`input`. If a single value is given it is replicated in the `H` and `W` dimension. By default the `N` and `C` dimensions are set to 1. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of `data_format`, see above for details. Dilations in the batch and depth dimensions if a 4-d tensor must be 1.",If a single value is given it is replicated in the QSTR dimension,,,,,,,
162,tf.nn.conv2d_transpose,dilations,"An int or list of `ints` that has length `1`, `2` or `4`, defaults to 1. The dilation factor for each dimension of`input`. If a single value is given it is replicated in the `H` and `W` dimension. By default the `N` and `C` dimensions are set to 1. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of `data_format`, see above for details. Dilations in the batch and depth dimensions if a 4-d tensor must be 1.",If set to k REXPR there will be k CONSTANT_NUM skipped cells between each filter element on that dimension,,,,,,,
163,tf.nn.conv2d_transpose,dilations,"An int or list of `ints` that has length `1`, `2` or `4`, defaults to 1. The dilation factor for each dimension of`input`. If a single value is given it is replicated in the `H` and `W` dimension. By default the `N` and `C` dimensions are set to 1. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of `data_format`, see above for details. Dilations in the batch and depth dimensions if a 4-d tensor must be 1.",The dilation factor for each dimension of PARAM,,,,,,,
164,tf.nn.conv2d_transpose,dilations,"An int or list of `ints` that has length `1`, `2` or `4`, defaults to 1. The dilation factor for each dimension of`input`. If a single value is given it is replicated in the `H` and `W` dimension. By default the `N` and `C` dimensions are set to 1. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of `data_format`, see above for details. Dilations in the batch and depth dimensions if a 4-d tensor must be 1.",The dimension order is determined by the value of PARAM see above for details,,,,,,,
165,tf.nn.conv2d_transpose,dilations,"An int or list of `ints` that has length `1`, `2` or `4`, defaults to 1. The dilation factor for each dimension of`input`. If a single value is given it is replicated in the `H` and `W` dimension. By default the `N` and `C` dimensions are set to 1. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of `data_format`, see above for details. Dilations in the batch and depth dimensions if a 4-d tensor must be 1.",dilations in the batch and depth dimensions if a CONSTANT_NUM d D_STRUCTURE must be CONSTANT_NUM,,,,,,,
166,tf.nn.dilation2d,dilations,"A list of `ints` that has length `>= 4`. The input stride for atrous morphological dilation. Must be:`[1, rate_height, rate_width, 1]`.",A D_STRUCTURE of D_TYPE that has length REXPR,D_TYPE,,D_STRUCTURE,[REXPR],,,
167,tf.nn.dilation2d,dilations,"A list of `ints` that has length `>= 4`. The input stride for atrous morphological dilation. Must be:`[1, rate_height, rate_width, 1]`.",Must be BSTR,D_TYPE,,,BSTR,,,
168,tf.nn.dilation2d,dilations,"A list of `ints` that has length `>= 4`. The input stride for atrous morphological dilation. Must be:`[1, rate_height, rate_width, 1]`.",The PARAM stride for atrous morphological dilation,,,,,,"[0,inf)",
169,tf.fill,dims,"A `Tensor`. Must be one of the following types: `int32`, `int64`. 1-D. Represents the shape of the output tensor.",A D_STRUCTURE,,D_STRUCTURE,,,,,
170,tf.fill,dims,"A `Tensor`. Must be one of the following types: `int32`, `int64`. 1-D. Represents the shape of the output tensor.",CONSTANT_NUM D,,,,,CONSTANT_NUM,,
171,tf.fill,dims,"A `Tensor`. Must be one of the following types: `int32`, `int64`. 1-D. Represents the shape of the output tensor.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
172,tf.fill,dims,"A `Tensor`. Must be one of the following types: `int32`, `int64`. 1-D. Represents the shape of the output tensor.",Represents the shape of the output D_STRUCTURE,int,,,,1,"[0,inf)",
173,tf.keras.layers.SimpleRNN,dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the inputs. Default: 0.,D_TYPE between CONSTANT_NUM,D_TYPE,,,,,CONSTANT_NUM,
174,tf.keras.layers.SimpleRNN,dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the inputs. Default: 0.,Default CONSTANT_NUM,,,,,,,
175,tf.keras.layers.SimpleRNN,dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the inputs. Default: 0.,Fraction of the PARAM to drop for the linear transformation of the inputs,,,,,,"[0,1]",
176,tf.keras.layers.SimpleRNNCell,dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the inputs. Default: 0.,D_TYPE between CONSTANT_NUM,D_TYPE,,,,,CONSTANT_NUM,
177,tf.keras.layers.SimpleRNNCell,dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the inputs. Default: 0.,Default CONSTANT_NUM,,,,,,,
178,tf.keras.layers.SimpleRNNCell,dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the inputs. Default: 0.,Fraction of the PARAM to drop for the linear transformation of the inputs,,,,,,"[0,1]",
179,tf.keras.backend.random_binomial,dtype,"String, dtype of returned tensor.",D_TYPE dtype of returned D_STRUCTURE,D_TYPE;dtype,,,,0,,
180,tf.keras.backend.variable,dtype,Tensor type.,D_STRUCTURE type,,D_STRUCTURE,,,,,
181,tf.keras.preprocessing.image.img_to_array,dtype,Dtype to use for the returned array.,dtype to use for the returned D_STRUCTURE,dtype,,,,,,
182,tf.signal.hamming_window,dtype,The data type to produce. Must be a floating point type.,Must be a D_TYPE point type,D_TYPE,,,,0,,
183,tf.signal.hamming_window,dtype,The data type to produce. Must be a floating point type.,The data type to produce,dtype,,,,,,
184,tf.foldl,elems,"A tensor or (possibly nested) sequence of tensors, each of which will be unpacked along their first dimension.  The nested sequence of the resulting slices will be the first argument to `fn`.",A D_STRUCTURE or BSTR D_STRUCTURE of D_STRUCTURE each of which will be unpacked along their first dimension,,D_STRUCTURE,D_STRUCTURE,,,,
185,tf.foldl,elems,"A tensor or (possibly nested) sequence of tensors, each of which will be unpacked along their first dimension.  The nested sequence of the resulting slices will be the first argument to `fn`.",The nested D_STRUCTURE of the resulting slices will be the first argument to PARAM,,,,,,,
186,tf.keras.backend.map_fn,elems,tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
187,tf.compat.as_text,encoding,A string indicating the charset for decoding unicode.,A D_TYPE indicating the charset for decoding unicode,D_TYPE,,,,0,,
188,tf.strided_slice,end_mask,An `int32` mask.,An D_TYPE mask,D_TYPE,,,,,,
189,tf.autograph.to_graph,entity,Python callable or class to convert.,Python callable or class to convert,,,,,,,
190,tf.keras.backend.batch_normalization,epsilon,Fuzz factor.,Fuzz factor,,,,,,,
191,tf.estimator.add_metrics,estimator,A `tf.estimator.Estimator` object.,A tf estimator estimator object,,,,,,,
192,tf.io.parse_single_sequence_example,example_name,"A scalar (0-D Tensor) of strings (optional), the name of the serialized proto.",A scalar BSTR the PARAM of the PARAM proto,string,tensor,,,0,,
193,tf.grad_pass_through,f,function `f(*x)` that returns a `Tensor` or nested structure of `Tensor`outputs.,function f BSTR that returns a D_STRUCTURE or nested structure of D_STRUCTUREoutputs,,,,,,,
194,tf.cond,false_fn,The callable to be performed if pred is false.,The callable to be performed if PARAM is CONSTANT_BOOL,,,,,,,
195,tf.io.decode_jpeg,fancy_upscaling,An optional `bool`. Defaults to `True`. If true use a slower but nicer upscaling of the chroma planes (yuv420/422 only).,An optional D_TYPE,D_TYPE,,,,0,,
196,tf.io.decode_jpeg,fancy_upscaling,An optional `bool`. Defaults to `True`. If true use a slower but nicer upscaling of the chroma planes (yuv420/422 only).,Defaults to CONSTANT_BOOL,,,,,,,
197,tf.io.decode_jpeg,fancy_upscaling,An optional `bool`. Defaults to `True`. If true use a slower but nicer upscaling of the chroma planes (yuv420/422 only).,If CONSTANT_BOOL use a slower but nicer upscaling of the chroma planes BSTR,bool,,,,0,,
